Observer,Date,Time,Species A,Species A Size,Species B,Species B Size,Group A,Group B,Winner,Extra Info 
K&J,24 January 2018,9:02,Damselfish,,Bullethead Parrotfish,,1,9,Damselfish,The parot fish were small (2inch) female
K,24 January 2018,9:04,Juvenile Parrotfish,,Sixbar Wrasse,,4,1,Juvenile Parrotfish,The parrot fish group displaced a wrasse
J,24 January 2018,9:11,Damselfish,,Sixbar Wrasse,,1,1,Damselfish,Damsel displace everything 
J,24 January 2018,9:14,Damselfish,,Bullethead Parrotfish,,1,1,Damselfish,Damsel displaced an adult parrot female
J,24 January 2018,9:14,Damselfish,,Threadfin Butterflyfish,,1,1,Damselfish,The butterfly was yellow and white
J,24 January 2018,9:25,Bullethead Parrotfish,,Dark-capped Parrotfish,,1,1,Bullethead Parrotfish,The blue parrot (MALE) pushed the yellow away 
J,24 January 2018,14:54,Damselfish,,Dusky Angelfish,,1,1,Damselfish,The blue damsel is the small one that has blue and black fish id needed 
J,24 January 2018,14:56,Dusky Angelfish,,Sixbar Wrasse,6,1,1,Dusky Angelfish,The wrasse was small 
J,24 January 2018,15:00,Damselfish,,Bullethead Parrotfish,,1,1,Damselfish,Female
J,24 January 2018,15:02,Juvenile Parrotfish,,Damselfish ,,15,1,Juvenile Parrotfish,There were many small parrot fish that took over a damsel territory 
J,24 January 2018,15:04,Damselfish,,Juvenile Parrotfish,,3,15,Damselfish,The damsel fish grouped together and attacked the parrot fish (small) 
J,24 January 2018,15:11,Damselfish,,Bullethead Parrotfish,,1,1,Damselfish,The parrot fish was captured by camera 1 after being attacked by the damsel (MALE)
J,24 January 2018,15:15,Lemonpeel Angelfish,,Juvenile Parrotfish,,1,4,Lemonpeel Angelfish,
J,24 January 2018,15:28,Orange-lined Triggerfish ,,Sixbar Wrasse,,1,1,Orange-lined Triggerfish,
K,26 January 2018,8:42,Damselfish,,Moorish Idol,,1,1,Damselfish,
K,26 January 2018,8:47,Damselfish,,Brown Tang,,1,2,Damselfish,
K,26 January 2018,8:52,Bullethead Parrotfish,,Brown Tang,,1,1,Bullethead Parrotfish,
K,26 January 2018,8:54,Damselfish,,Juvenile Parrotfish,6,1,10,Juvenile Parrotfish,
K,26 January 2018,8:55,Bullethead Parrotfish,,Scissortail Sergeant,,1,2,Bullethead Parrotfish,
K,26 January 2018,8:56,Damselfish,,Sixbar Wrasse,5,1,1,Damselfish,
K,26 January 2018,8:59,Moorish Idol,,Regal Angelfish,,1,1,Moorish Idol,
K,26 January 2018,9:07,Damselfish,,Lemonpeel Angelfish,,1,1,Damselfish,
K,26 January 2018,9:08,Damselfish,,Moorish Idol,,1,1,Damselfish,
K,26 January 2018,9:11,Brown Tang,,Speckled Butterflyfish,,1,1,Brown Tang,
D,26 January 2018,8:43,Damselfish,,Threadfin Butterflyfish,,1,1,Damselfish,
D,26 January 2018,8:49,Damselfish,,Sixbar Wrasse,,1,1,Damselfish,
D,26 January 2018,8:55,Orange-lined Triggerfish,,"Benthic, spiny-looking, light & dark stripes*",,1,1,Orange-lined Triggerfish,
D,26 January 2018,8:58,Damselfish,,Brown Tang,,1,1,Damselfish,
D,26 January 2018,9:01,Bullethead Parrotfish,,Sixbar Wrasse,,1,1,Bullethead Parrotfish,
D,26 January 2018,9:03,Bullethead Parrotfish,,Brown Tang,,1,1,Bullethead Parrotfish,
D,26 January 2018,9:11,Cornetfish,,Brown Tang,,1,1,Cornetfish,
D,26 January 2018,9:33,Damselfish,,Bullethead Parrotfish,,1,1,Damselfish,
K,26 January 2018,15:03,Damselfish,,Scissortail Sergeant,,1,1,Damselfish,
K,26 January 2018,15:13,Brown Tang,,Lemonpeel Angelfish,,1,1,Brown Tang,
K,26 January 2018,15:15,Damselfish,,Sixbar Wrasse,5,1,1,Damselfish,
K,26 January 2018,15:19,Lemonpeel Angelfish,,Sixbar Wrasse,10,2,1,Lemonpeel Angelfish,
K,26 January 2018,15:23,Regal Angelfish,,Speckled Butterflyfish,,1,2,Regal Angelfish,
K,26 January 2018,15:27,Scissortail Sergeant,10,Sixbar Wrasse,,2,1,Scissortail Sergeant,
K,26 January 2018,15:33,Damselfish,,Sixbar Wrasse,15,1,1,Damselfish,
K,26 January 2018,15:36,Dusky Angelfish,,Lemonpeel Angelfish,,1,1,Dusky Angelfish,
K,26 January 2018,15:38,Damselfish,,Sixbar Wrasse,9,1,1,Damselfish,
K,26 January 2018,15:42,Regal Angelfish,,Sixbar Wrasse,15,1,1,Regal Angelfish,
K,26 January 2018,15:43,Moorish Idol,,Regal Angelfish,,1,1,Moorish Idol,
K,26 January 2018,15:43,Dusky Angelfish,,Moorish Idol,,1,1,Dusky Angelfish,
D,26 January 2018,15:02,Dark-capped Parrotfish,,Damselfish,,1,1,Damselfish,
D,26 January 2018,15:03,Dark-capped Parrotfish,,Damselfish,,1,1,Damselfish,
D,26 January 2018,15:09,Brown Tang,,Brown Tang,,1,1,NA,
D,26 January 2018,15:15,Orange-lined Triggerfish,10,Brown Tang,,1,1,Orange-lined Triggerfish,
D,26 January 2018,15:15,Scissortail Sergeant,,Damselfish,5,1,1,Damselfish,
D,26 January 2018,15:19,Sixbar Wrasse,,Juvenile Parrotfish,,1,8,Juvenile Parrotfish,
D,26 January 2018,15:21,Scissortail Sergeant,,Juvenile Parrotfish,,1,20,Juvenile Parrotfish,
D,26 January 2018,15:22,Brown Tang,,Scissortail Sergeant,,1,1,Brown Tang,
D,26 January 2018,15:34,Orange-lined Triggerfish,,Damselfish,,1,1,Damselfish,
D,26 January 2018,15:38,Bullethead Parrotfish,,Bullethead Parrotfish,,1,1,NA,two males
D,26 January 2018,15:52,Brown Tang,,Damselfish,,1,1,Damselfish,
D,26 January 2018,15:54,Dark-capped Parrotfish,,Damselfish,,1,2,Damselfish,
J,26 January 2018,8:51,Raccoon Butterflyfish,,Sixbar Wrasse ,,1,1,Raccoon Butterflyfish ,medium sized wrasse 
J,26 January 2018,8:56,Damselfish,,Sixbar Wrasse ,,1,1,Damselfish,medium sized wrasse 
