Observer,File Name,Date of scoring,Date of recording,Plot,Time of Recording,Location in file,Explanation,Over food / Field of View,Species A,Species A Size ,Group A,Species B,Species B Size,Group B,Winner,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,0:12,towards the right side as the camera is being set down you see interaction ,field of view,Damselfish,,1,Bullethead Parrotfish ,,1,Damselfish ,(female parrotfish) 
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,0:22,towards the right side very quick chase,field of view,Damselfish,,1,Sixbar Wrasse ,,1,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,0:31,in the centrer of field of view chase ,field of view ,Damselfish,,1,Sixbar Wrasse ,,1,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,0:56,Orange-lined Triggerfish ,field of view ,Damselfish,,1,Orange-lined Triggerfish ,,1,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,1:21,right corner of field of view ,field of view ,Damselfish,,1,Sixbar Wrasse ,,2,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,2:28,right side of field of view ,field of view ,Damselfish,,1,Brown Tang ,,1,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,2:46,in the center of field of view chase ,field of view ,Damselfish,,1,Moorish Idol ,,1,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,2:52,in the center of field of view chase ,field of view ,Orange-lined Triggerfish ,,1,Moorish Idol ,,1,Orange-lined Triggerfish ,
J,20180130_135743_Plot_2,3 February 2018,30 January 2018,2,13:57,2:55,on top of mesh ,field of view ,Damselfish,,1,Colorful Surgeonfish* ,,1,Damselfish ,
J,20180130_135743_Plot_2,3 February 2018,30 January 2018,2,13:57,2:57,near mesh ,field of view ,Moorish Idol ,,1,Orange-lined Triggerfish ,,1,Moorish Idol ,
J,20180130_135743_Plot_2,3 February 2018,30 January 2018,2,13:57,3:06,near mesh ,field of view ,Orange-lined Triggerfish ,,1,Moorish Idol ,,1,Orange-lined Triggerfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,3:18,near mesh ,field of view ,Damselfish,,1,Orange-lined Triggerfish ,,1,Damselfish ,
J,20180130_135743_Plot_2,3 February 2018,30 January 2018,2,13:57,3:30,near mesh ,field of view ,Damselfish,,1,Moorish Idol ,,1,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,4:07,near mesh ,field of view ,Damselfish,,1,Moorish Idol ,,1,Damselfish ,
J,20180130_135743_Plot_2 ,3 February 2018,30 January 2018,2,13:57,4:27,center,field of view ,Damselfish,,1,Raccoon Butterflyfish,,2,Damselfish ,
