Brown Tang			Bullethead Parrotfish	Damselfish	Dark-capped Parrotfish	Dusky Angelfish	Guineafowl Puffer	Juvenile Parrotfish	Lemonpeel Angelfish	Longnose Butterflyfish	Melon Butterflyfish	Moorish Idol	Orange-lined Triggerfish	Raccoon Butterflyfish	Regal Angelfish	Scissortail Sergeant	Sixbar Wrasse	Speckled Butterflyfish	Spotted Porcupinefish	Threadfin Butterflyfish	Threeband Pennantfish	Bird Wrasse	Whitebar Gregory	Pacific Butterflyfish	  
Brown Tang			NA		     	5	  	31		      	2	       	0		 	1		   	1		   	0		      	0		   	0	    	2				5		     	1	       	4		    	0	     	0		      	0		     	0		       	0		     	1	   	0			1		     	0 
Bullethead Parrotfish		1		     	NA	  	27		      	0	       	0		 	0		   	0		   	1		      	0		   	0	    	2				2		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Damselfish			1		     	1	  	NA		      	1	       	0		 	0		   	3		   	0		      	0		   	0	    	0				3		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			3		     	0 
Dark-capped Parrotfish		0		     	2	  	12		      	NA	       	0		 	0		   	0		   	0		      	0		   	0	    	0				2		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Dusky Angelfish			3		     	0	  	4		      	0	       	NA		 	0		   	1		   	1		      	0		   	0	    	0				1		     	0	       	2		    	1	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Guineafowl Puffer		0		     	0	  	0		      	0	       	0		 	NA		   	0		   	0		      	0		   	0	    	0				0		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Juvenile Parrotfish		1		     	0	  	14		      	2	       	0		 	0		   	NA		   	2		      	0		   	0	    	0				2		     	0	       	0		    	1	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Lemonpeel Angelfish		11		     	2	  	28		      	0	       	2		 	0		   	1		   	NA		      	0		   	0	    	2				7		     	0	       	8		    	1	     	0		      	0		     	1		       	0		     	0	   	0			0		     	0 
Longnose Butterflyfish		3		     	0	  	2		      	0	       	0		 	0		   	0		   	0		      	NA		   	0	    	0				0		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Melon Butterflyfish		2		     	0	  	1		      	0	       	0		 	0		   	0		   	0		      	0		   	NA	    	0				1		     	1	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Moorish Idol			3		     	1	  	37		      	0	       	2		 	0		   	0		   	0		      	0		   	0	    	NA				11		     	2	       	7		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Orange-lined Triggerfish	0		     	0	  	14		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	2				NA		     	0	       	1		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Raccoon Butterflyfish		2		     	1	  	14		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	2				1		     	NA	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Regal Angelfish			1		     	0	  	10		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	10				4		     	0	       	NA		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Scissortail Sergeant		1		     	1	  	17		      	1	       	0		 	0		   	2		   	0		      	0		   	0	    	1				0		     	1	       	1		    	NA	     	0		      	0		     	0		       	0		     	0	   	0			0		     	0 
Sixbar Wrasse			2		     	4	  	31		      	0	       	3		 	0		   	2		   	4		      	0		   	0	    	4				11		     	1	       	2		    	2	     	NA		      	1		     	1		       	1		     	0	   	1			0		     	0 
Speckled Butterflyfish		4		     	0	  	8		      	0	       	0		 	0		   	0		   	1		      	0		   	1	    	2				2		     	1	       	3		    	0	     	0		      	NA		     	0		       	0		     	0	   	0			0		     	0 
Spotted Porcupinefish		0		     	0	  	1		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	0				0		     	0	       	0		    	0	     	0		      	0		     	NA		       	0		     	0	   	0			0		     	0 
Threadfin Butterflyfish		0		     	2	  	5		      	0	       	0		 	0		   	0		   	1		      	0		   	0	    	1				0		     	2	       	0		    	0	     	0		      	0		     	0		       	NA		     	0	   	0			0		     	0 
Threeband Pennantfish		1		     	0	  	2		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	0				1		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	NA	   	0			0		     	0 
Bird Wrasse			0		     	0	  	0		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	0				2		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	NA			0		     	0 
Whitebar Gregory		0		     	1	  	1		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	0				0		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			NA		     	0 
Pacific Butterflyfish		0		     	0	  	0		      	0	       	0		 	0		   	0		   	0		      	0		   	0	    	1				0		     	0	       	0		    	0	     	0		      	0		     	0		       	0		     	0	   	0			0		     	NA
