Species,Diet
Bird Wrasse,Benthic Invertebrate Consumer
Brown Tang,Herbivore/Detritivore
Bullethead Parrotfish,Herbivore/Detritivore
Damselfish,Omnivore
Dark-capped Parrotfish,Herbivore/Detritivore
Dusky Angelfish,Omnivore
Guineafowl Puffer,Corallivore
Juvenile Parrotfish,Herbivore/Detritivore
Lemonpeel Angelfish,Omnivore
Longnose Butterflyfish,Benthic Invertebrate Consumer
Melon Butterflyfish,Corallivore
Moorish Idol,Omnivore
Orange-lined Triggerfish,Omnivore
Pacific Butterflyfish,Corallivore
Raccoon Butterflyfish,Corallivore
Regal Angelfish,Benthic Invertebrate Consumer
Scissortail Sergeant,Omnivore
Sixbar Wrasse,Benthic Invertebrate Consumer
Speckled Butterflyfish,Corallivore
Spotted Porcupinefish,Benthic Invertebrate Consumer
Threadfin Butterflyfish,Corallivore
Threeband Pennantfish,Corallivore
Whitebar Gregory,Omnivore
